               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10692,            0.068821,            0.062889,            0.095317,             0.18372,            0.067388,            0.022895,            0.077132,             0.09984,             0.06056,            0.070265,           0.0033038,           0.0033038
                   1,            0.071844,            0.067278,            0.056968,             0.11275,             0.32727,             0.11044,            0.045873,            0.061495,            0.055197,            0.053868,            0.040244,           0.0066153,           0.0066153
                   2,            0.066027,            0.063583,            0.051547,             0.21802,             0.38678,             0.23378,            0.088743,            0.060002,            0.050866,            0.046405,              0.0102,           0.0099047,           0.0099047
                   3,            0.059334,            0.060648,            0.042796,             0.43954,             0.54769,             0.48587,             0.23246,            0.046438,            0.047412,            0.035144,            0.009901,            0.009901,            0.009901
                   4,            0.053063,            0.058764,            0.035986,             0.45247,             0.67338,             0.55189,             0.30718,            0.040933,            0.045329,            0.030928,            0.009901,            0.009901,            0.009901
                   5,            0.048599,            0.057419,            0.032931,             0.56054,             0.73069,             0.62165,             0.39444,            0.036062,             0.04279,            0.028941,            0.009868,            0.009868,            0.009868
                   6,            0.046721,            0.054888,            0.031443,             0.62122,             0.74601,             0.63593,             0.41839,            0.034146,            0.042737,            0.027867,            0.009835,            0.009835,            0.009835
                   7,            0.045569,            0.055323,            0.030359,             0.63304,             0.78358,               0.669,             0.43044,            0.035401,            0.040995,            0.025929,            0.009802,            0.009802,            0.009802
                   8,             0.04322,            0.052645,            0.027976,              0.6464,             0.82342,             0.71033,             0.48259,            0.033329,            0.039821,            0.023594,            0.009769,            0.009769,            0.009769
                   9,            0.043313,            0.052684,            0.026257,              0.6875,             0.78632,             0.74029,             0.51634,            0.031163,            0.040075,            0.022023,            0.009736,            0.009736,            0.009736
                  10,            0.041638,            0.051274,            0.023509,             0.81645,              0.7857,             0.80421,             0.56089,            0.030452,            0.038253,            0.018437,            0.009703,            0.009703,            0.009703
                  11,            0.041235,            0.049992,            0.021409,              0.8392,             0.81202,             0.83201,             0.57636,            0.030081,             0.03874,            0.015861,             0.00967,             0.00967,             0.00967
                  12,            0.040433,            0.050411,            0.019479,             0.86693,               0.815,             0.85452,             0.61112,            0.030472,            0.037874,            0.014073,            0.009637,            0.009637,            0.009637
                  13,            0.039652,            0.050312,            0.018393,             0.93905,             0.83117,             0.88847,             0.60958,            0.030017,            0.038695,             0.01295,            0.009604,            0.009604,            0.009604
                  14,            0.039572,             0.05001,            0.017178,             0.94316,              0.8317,             0.89188,             0.64551,            0.029567,            0.037904,            0.011054,            0.009571,            0.009571,            0.009571
                  15,             0.03845,            0.048177,            0.015233,             0.95509,              0.8397,             0.89747,             0.65995,             0.02958,            0.038377,            0.010293,            0.009538,            0.009538,            0.009538
                  16,            0.038174,            0.048556,            0.014852,             0.95593,             0.84352,             0.90373,             0.64041,            0.028994,            0.036338,           0.0094397,            0.009505,            0.009505,            0.009505
                  17,            0.038304,            0.048988,            0.014656,             0.96484,              0.8454,             0.90022,             0.68352,             0.02719,            0.036751,           0.0092691,            0.009472,            0.009472,            0.009472
                  18,            0.037655,             0.04782,            0.014321,             0.92397,             0.83754,             0.89497,             0.64997,            0.028504,            0.036125,            0.010137,            0.009439,            0.009439,            0.009439
                  19,             0.03687,            0.048031,            0.013984,             0.93479,              0.8559,             0.90713,             0.69703,            0.026027,            0.035464,           0.0090296,            0.009406,            0.009406,            0.009406
                  20,            0.035806,            0.046482,            0.013332,             0.95793,             0.86102,             0.91048,              0.6875,            0.025762,            0.034781,           0.0086121,            0.009373,            0.009373,            0.009373
                  21,            0.036428,              0.0466,              0.0133,             0.95944,             0.85618,             0.90901,             0.69013,            0.026083,            0.035111,           0.0084596,             0.00934,             0.00934,             0.00934
                  22,            0.036406,            0.047645,            0.013545,             0.96442,             0.86114,             0.91189,             0.68567,            0.026646,            0.035506,           0.0081375,            0.009307,            0.009307,            0.009307
                  23,            0.036418,            0.047331,            0.013358,             0.96105,             0.87507,             0.91109,             0.70452,            0.025495,            0.034797,           0.0078718,            0.009274,            0.009274,            0.009274
                  24,             0.03569,            0.046651,            0.013271,             0.97235,             0.85997,             0.91203,             0.71161,            0.024761,            0.034591,           0.0078328,            0.009241,            0.009241,            0.009241
                  25,            0.034406,            0.045465,            0.012772,             0.95797,             0.85422,             0.90976,             0.70891,            0.025767,            0.036142,           0.0085357,            0.009208,            0.009208,            0.009208
                  26,            0.035719,            0.046588,            0.012912,               0.956,             0.87911,             0.91408,             0.71574,             0.02409,            0.034126,           0.0075889,            0.009175,            0.009175,            0.009175
                  27,            0.034925,            0.045499,            0.012771,             0.96328,             0.86819,             0.91268,             0.72258,            0.024163,             0.03422,           0.0078092,            0.009142,            0.009142,            0.009142
                  28,            0.034519,            0.045922,             0.01253,             0.97378,             0.87275,             0.91739,             0.71762,            0.023976,            0.033325,           0.0076953,            0.009109,            0.009109,            0.009109
                  29,             0.03452,            0.045027,            0.012183,             0.95779,             0.87386,             0.91651,             0.71143,            0.024372,            0.033808,           0.0077374,            0.009076,            0.009076,            0.009076
                  30,            0.034282,            0.044623,            0.012252,             0.96313,             0.87862,             0.91927,             0.72926,            0.023274,            0.032984,           0.0074516,            0.009043,            0.009043,            0.009043
                  31,            0.034073,            0.044437,            0.012077,             0.97393,             0.86322,             0.91642,             0.72843,            0.023678,            0.032843,           0.0076974,             0.00901,             0.00901,             0.00901
                  32,            0.032898,            0.043434,            0.011771,             0.97559,             0.87215,             0.91876,              0.7289,            0.023964,            0.033094,           0.0072742,            0.008977,            0.008977,            0.008977
                  33,            0.032851,             0.04364,            0.011514,             0.97655,              0.8775,             0.91841,             0.73062,            0.023262,            0.032977,           0.0071252,            0.008944,            0.008944,            0.008944
                  34,            0.033372,            0.044378,            0.012157,             0.96626,             0.88686,             0.91975,              0.7335,            0.022554,            0.032333,           0.0071703,            0.008911,            0.008911,            0.008911
